ID,MIDI,YEAR
"1917,""MacDonald/Castle House Rag.mid"",1914"
"2078,""MacDonald/Chestnuts.mid"",1906"
"2137,""MacDonald/Chills And Fever.mid"",1912"
"2271,""MacDonald/Cleanin' Up In Georgia.mid"",1899"
"2289,""MacDonald/Climbers  The.mid"",1911"
"2369,""MacDonald/Colonial Glide.mid"",1910"
"2517,""MacDonald/Coon Hollow Capers.mid"",1899"
"2637,""MacDonald/Cotton Bolls.mid"",1901"
"2665,""MacDonald/Cotton Time.mid"",1910"
"2766,""MacDonald/Creole Belles.mid"",1900"
"2782,""MacDonald/Crimson Rambler.mid"",1911"
"2842,""MacDonald/Cum Bac.mid"",1911"
"2866,""MacDonald/Cyclone In Darktown, A.mid"",1910"
"2907,""MacDonald/Dakota Rag.mid"",1899"
"3258,""MacDonald/Dingle Pop Hop.mid"",1911"
"3261,""MacDonald/Dingy Slowdown, A.mid"",1900"
"3328,""MacDonald/Dixie Girl.mid"",1903"
"3378,""MacDonald/Doc. Brown's Cake Walk.mid"",1899"
"3482,""MacDonald/Dope.mid"",1909"
"3522,""MacDonald/Down Home Rag.mid"",1911"
"3656,""MacDonald/Dusty.mid"",1908"
"3707,""MacDonald/Eatin' Time.mid"",1913"
"3884,""MacDonald/Ethiopia Rag.mid"",1909"
"4078,""MacDonald/Fascinator  The.mid"",1903"
"4224,""MacDonald/Fizz Water.mid"",1914"
"4305,""MacDonald/Flying Arrow.mid"",1906"
"4468,""MacDonald/Fried Chicken Rag.mid"",1912"
"4539,""MacDonald/Frozen Bill.mid"",1909"
"4566,""MacDonald/Funny Folks.mid"",1904"
"4640,""MacDonald/Gasoline Rag.mid"",1906"
"4800,""MacDonald/Glad Cat Rag.mid"",1905"
"4849,""MacDonald/Gobbler's Gambol.mid"",1913"
"4882,""MacDonald/Golden Deer.mid"",1911"
"4894,""MacDonald/Golden Spider.mid"",1910"
"4961,""MacDonald/Good-bye Old Gal Good-bye.mid"",1906"
"5088,""MacDonald/Gum Shoe.mid"",1917"
"5120,""MacDonald/Halley's Comet.mid"",1910"
"5192,""MacDonald/Happy Heinie.mid"",1905"
"5520,""MacDonald/Holy Moses.mid"",1906"
"5570,""MacDonald/Honey Rag.mid"",1909"
"5665,""MacDonald/Hot Chocolate.mid"",1908"
"6088,""MacDonald/Ida-Ho!.mid"",1906"
"6289,""MacDonald/Impecunious Davis.mid"",1899"
"6367,""MacDonald/In Tokio.mid"",1904"
"6607,""MacDonald/J.J.J. Rag.mid"",1905"
"6642,""MacDonald/Jamaica Jinjer.mid"",1912"
"6926,""MacDonald/Just Ask Me.mid"",1902"
"6971,""MacDonald/Kalamity Kid.mid"",1909"
"7441,""MacDonald/Levee Revels.mid"",1898"
"7569,""MacDonald/Live Wires Rag.mid"",1909"
"7862,""MacDonald/Majestic Rag.mid"",1914"
"8052,""MacDonald/Mashed Potatoes.mid"",1911"
"8117,""MacDonald/Medic Rag.mid"",1910"
"8169,""MacDonald/Memphis Blues  The.mid"",1912"
"8433,""MacDonald/Mocking Bird Rag.mid"",1912"
"8444,""MacDonald/Modesty Rag.mid"",1920"
"8531,""MacDonald/Moose Rag.mid"",1910"
"8577,""MacDonald/Motor Bus.mid"",1914"
"8650,""MacDonald/Music Box Rag  The.mid"",1912"
"8669,""MacDonald/My Ann Elizer.mid"",1898"
"8847,""MacDonald/Nappy Lee.mid"",1903"
"9285,""MacDonald/Oh  You Devil.mid"",1909"
"9379,""MacDonald/Old Virginia Rag.mid"",1907"
"9395,""MacDonald/Ole Virginny Barbecue.mid"",1899"
"9419,""MacDonald/On Easy Street.mid"",1901"
"9420,""MacDonald/On Emancipation Day.mid"",1902"
"9478,""MacDonald/One O' Them Things?.mid"",1904"
"9768,""MacDonald/Peaceful Henry.mid"",1901"
"9775,""MacDonald/Peaches And Cream.mid"",1905"
"10149,""MacDonald/Poison Rag.mid"",2009"
"10305,""MacDonald/Pride Of Bucktown  The.mid"",1897"
"10428,""MacDonald/Queen Of Love.mid"",1901"
"10440,""MacDonald/Queen Rag  The.mid"",1911"
"10441,""MacDonald/Queen Raglin.mid"",1902"
"10585,""MacDonald/Rag Pickers Rag  The.mid"",1901"
"10601,""MacDonald/Rag Time Chimes.mid"",1911"
"10649,""MacDonald/Rag-Alley Dream.mid"",1902"
"10705,""MacDonald/Ragged Terry.mid"",1913"
"10750,""MacDonald/Raggy Rag.mid"",1909"
"10778,""MacDonald/Rags And Tatters.mid"",1900"
"10780,""MacDonald/Rags To Burn.mid"",1899"
"10966,""MacDonald/Ragtime Oriole.mid"",1911"
"11053,""MacDonald/Ragtime Violin!.mid"",1911"
"11166,""MacDonald/Rats!!!.mid"",1914"
"11169,""MacDonald/Rattler Rag  The.mid"",1912"
"11355,""MacDonald/Reindeer.mid"",1915"
"11643,""MacDonald/Royal Flush.mid"",1911"
"11838,""MacDonald/Sapho Rag.mid"",1909"
"11850,""MacDonald/Saskatoon.mid"",1915"
"11949,""MacDonald/Scroochin' Up Rag.mid"",1911"
"12054,""MacDonald/Shake Yo' Dusters.mid"",1898"
"12063,""MacDonald/Shamrock Rag.mid"",1916"
"12082,""MacDonald/Sheath  The.mid"",1908"
"12327,""MacDonald/Sleepy Lou.mid"",1906"
"12332,""MacDonald/Sleepy Sidney.mid"",1907"
"12392,""MacDonald/Smiler  The.mid"",1907"
"12457,""MacDonald/Snowball Babe.mid"",1900"
"12599,""MacDonald/Sour Grapes.mid"",1912"
"12922,""MacDonald/Stoptime.mid"",1910"
"13038,""MacDonald/Summer Breeze, A.mid"",1903"
"13140,""MacDonald/Sure Fire Rag.mid"",1910"
"13158,""MacDonald/Swamptown Shuffle.mid"",1902"
"13264,""MacDonald/Swipesy.mid"",1900"
"13504,""MacDonald/Temptation Rag.mid"",1909"
"13533,""MacDonald/Tennessee Tantalizer, A.mid"",1900"
"13552,""MacDonald/Texas Fox Trot.mid"",1915"
"13631,""MacDonald/That Demon Rag.mid"",1911"
"13678,""MacDonald/That Gosh-Darned Two Step Rag.mid"",1913"
"13687,""MacDonald/That Hindu Rag.mid"",1910"
"13844,""MacDonald/That Teasin' Rag.mid"",1903"
"13849,""MacDonald/That Texas Rag.mid"",1913"
"14125,""MacDonald/Toboggan Rag.mid"",1912"
"14178,""MacDonald/Too Much Mustard (Tres Moutarde).mid"",1911"
"14179,""MacDonald/Too Much Raspberry.mid"",1916"
"14211,""MacDonald/Totally Different Rag, A.mid"",1910"
"14762,""MacDonald/Walkin' On De Rainbow Road.mid"",1899"
"14888,""MacDonald/Weary Walker's March.mid"",1895"
"15155,""MacDonald/White Wash Man The.mid"",1908"
"15169,""MacDonald/Who Let The Cows Out?.mid"",1910"
"15181,""MacDonald/Whoa! Maud.mid"",1905"
"15212,""MacDonald/Why We Smile.mid"",1903"
"15224,""MacDonald/Wild Cherries.mid"",1908"
"4688,""Perry, incl ex Perry/Georgia Echoes.mid"",1903"
"11797,""Perry, incl ex Perry/Sambo At De Cake Walk.mid"",1896"
"10914,""Old Web & PRT/Ragtime In The Hollow.mid"",n/a"
"868,""Misc Sequencers, unks/Beaumont Rag.mid"",1928"
"4669,""Misc Sequencers, unks/General Lavine Eccentric.mid"",1913"
"13293,""Misc Sequencers, unks/Syncopated Clock  The.mid"",1951"
"4627,""O'Dell/Garden Walk  The.mid"",1996"
"7816,""O'Dell/Mad Scientist Rag.mid"",2001"
"8543,""O'Dell/Morgan Hill Rag.mid"",2007"
"9563,""O'Dell/Osawatomie.mid"",2007"
"10321,""O'Dell/Priority Rag.mid"",2004"
"13453,""O'Dell/Tattle-Tale Rag.mid"",2003"
"10906,""O'Dell/Rag-Time Hullabaloo, A.mid"",2008"
"94,""Crausaz & Orton/Aeoleus.mid"",1974"
"200,""Crausaz & Orton/Alabama Hoe Down.mid"",1899"
"234,""Crausaz & Orton/Alakeefic.mid"",1970"
"801,""Crausaz & Orton/Barbecue Rag.mid"",1909"
"881,""Crausaz & Orton/Beauty Queen.mid"",1953"
"1077,""Crausaz & Orton/Black Cinderella.mid"",1900"
"1105,""Crausaz & Orton/Black Panther.mid"",1933"
"1111,""Crausaz & Orton/Black Rose.mid"",1957"
"1193,""Crausaz & Orton/Blue Grass Beauties.mid"",1902"
"1197,""Crausaz & Orton/Blue Grass Queen  The.mid"",1901"
"1305,""Crausaz & Orton/Bomb Shell.mid"",1909"
"1494,""Crausaz & Orton/Buccaneer  The.mid"",1911"
"1526,""Crausaz & Orton/Bugavue Rag  The.mid"",1902"
"1568,""Crausaz & Orton/Bundle Of Rags, A.mid"",1897"
"1707,""Crausaz & Orton/Cakewalk Jubilee.mid"",1977"
"1766,""Crausaz & Orton/Campmeetin' Echoes.mid"",1921"
"1923,""Crausaz & Orton/Castle Square.mid"",1914"
"1939,""Crausaz & Orton/Catchy Thing, A.mid"",1905"
"1987,""Crausaz & Orton/Cerise.mid"",1914"
"2074,""Crausaz & Orton/Cherry Pie.mid"",1951"
"2105,""Crausaz & Orton/Chicken Parade  The.mid"",1901"
"2123,""Crausaz & Orton/Chiff Chaff.mid"",1977"
"2168,""Crausaz & Orton/Chitterlin' Strut.mid"",1924"
"2176,""Crausaz & Orton/Chocolate Drops.mid"",1902"
"2189,""Crausaz & Orton/Chopiano.mid"",1922"
"2212,""Crausaz & Orton/Chrystal Chimes.mid"",1900"
"2229,""Crausaz & Orton/Cindy Belle.mid"",1967"
"2288,""Crausaz & Orton/Climax  The.mid"",1900"
"2322,""Crausaz & Orton/Club Cabin  The.mid"",1903"
"2382,""Crausaz & Orton/Colored Chappies  The.mid"",1902"
"2405,""Crausaz & Orton/Combination Salad.mid"",1916"
"2464,""Crausaz & Orton/Coney Island Dip  The.mid"",1901"
"2465,""Crausaz & Orton/Coney Island Girl  The.mid"",1906"
"2468,""Crausaz & Orton/Coney Island Tickle.mid"",1906"
"2588,""Crausaz & Orton/Coppertop.mid"",1973"
"2751,""Crausaz & Orton/Crazy Sam.mid"",n/a"
"2764,""Crausaz & Orton/Creole Beauty.mid"",n/a"
"2828,""Crausaz & Orton/Cubist.mid"",1918"
"2841,""Crausaz & Orton/Cul'ed Populashun    De.mid"",1898"
"2899,""Crausaz & Orton/Dainty Foot Glide  The.mid"",1915"
"2926,""Crausaz & Orton/Dance Of The Hoo-Hoo.mid"",1898"
"2928,""Crausaz & Orton/Dance Of The Oyster And The Clam.mid"",1898"
"2942,""Crausaz & Orton/Dancing By Moonlight.mid"",1923"
"2985,""Crausaz & Orton/Dandy Sandy.mid"",1900"
"3080,""Crausaz & Orton/Darky In The Woodpile.mid"",1900"
"3087,""Crausaz & Orton/Dash Of Lavender, A.mid"",n/a"
"3113,""Crausaz & Orton/Davis Fox Trot  The.mid"",1914"
"3219,""Crausaz & Orton/Diamond Lily  The.mid"",1967"
"3233,""Crausaz & Orton/Didelphis or Opposum.mid"",1902"
"3244,""Crausaz & Orton/Dime Rag.mid"",1995"
"3263,""Crausaz & Orton/Dingy's Serenade  The.mid"",1898"
"3399,""Crausaz & Orton/Doherty Rag.mid"",1912"
"3662,""Crausaz & Orton/Dutch Rag.mid"",n/a"
"3870,""Crausaz & Orton/Eskimo Shivers.mid"",1921"
"3997,""Crausaz & Orton/Excelsior Shoe Step  The.mid"",n/a"
"4053,""Crausaz & Orton/Fantastic  The.mid"",1902"
"4255,""Crausaz & Orton/Flipity Flop.mid"",1901"
"4411,""Crausaz & Orton/Foxy Sam.mid"",1903"
"4478,""Crausaz & Orton/Frigid Frolics.mid"",1905"
"4557,""Crausaz & Orton/Fun On The Levee.mid"",n/a"
"4900,""Crausaz & Orton/Goldilocks.mid"",1957"
"5030,""Crausaz & Orton/Greased Lightning.mid"",n/a"
"5117,""Crausaz & Orton/Halifax Rag.mid"",1910"
"5147,""Crausaz & Orton/Handy Andy.mid"",1900"
"5228,""Crausaz & Orton/Hard Boiled Rag.mid"",1910"
"5421,""Crausaz & Orton/Higgledy Piggledy.mid"",1902"
"5431,""Crausaz & Orton/High Life.mid"",1952"
"5458,""Crausaz & Orton/Hilda.mid"",1910"
"5491,""Crausaz & Orton/Hocus Pocus Rag.mid"",1910"
"5557,""Crausaz & Orton/Honey I'm Waitin'.mid"",1904"
"5717,""Crausaz & Orton/Hot Wave, A.mid"",1901"
"5754,""Crausaz & Orton/How Reuben Does The Rag.mid"",1902"
"6481,""Crausaz & Orton/Isadore Two Step.mid"",1908"
"6676,""Crausaz & Orton/Jazz.mid"",n/a"
"6827,""Crausaz & Orton/Jolly Roger.mid"",1970"
"6904,""Crausaz & Orton/Jungle  The.mid"",1905"
"7088,""Crausaz & Orton/Kewpie.mid"",1929"
"7194,""Crausaz & Orton/Knights Templar March.mid"",1899"
"7204,""Crausaz & Orton/Koko Bolo Two-Step.mid"",1903"
"7248,""Crausaz & Orton/Lady With The Red Dress.mid"",1900"
"7574,""Crausaz & Orton/Liza.mid"",1906"
"7588,""Crausaz & Orton/Lock The Barn!.mid"",1927"
"7799,""Crausaz & Orton/Ma Mobile Babe.mid"",1899"
"7943,""Crausaz & Orton/Mandy Lou's Cakewalk.mid"",1966"
"7969,""Crausaz & Orton/Maori.mid"",1908"
"8062,""Crausaz & Orton/Matchmaker,The.mid"",1903"
"8134,""Crausaz & Orton/Melancholy Mose.mid"",1902"
"8181,""Crausaz & Orton/Mentel's Maxixe.mid"",1914"
"8479,""Crausaz & Orton/Monkey Motion Rag.mid"",1911"
"8742,""Crausaz & Orton/My Kickapoo.mid"",1904"
"8767,""Crausaz & Orton/My Maryland Babe.mid"",1901"
"9232,""Crausaz & Orton/Oh You, Sally Rag.mid"",1911"
"9315,""Crausaz & Orton/Old Black Joe.mid"",1914"
"9451,""Crausaz & Orton/On The Turf At Saratoga.mid"",1904"
"9453,""Crausaz & Orton/On the Wharf.mid"",1905"
"9501,""Crausaz & Orton/Onward To Berlin.mid"",1918"
"9565,""Crausaz & Orton/Ostende  The.mid"",1910"
"9771,""Crausaz & Orton/Peach Blossoms.mid"",1910"
"9780,""Crausaz & Orton/Peacock Strut.mid"",1917"
"10058,""Crausaz & Orton/Ping Pong.mid"",1902"
"10222,""Crausaz & Orton/Possum And The Coon  The.mid"",1901"
"10223,""Crausaz & Orton/Possum Barbecue  The.mid"",1899"
"10238,""Crausaz & Orton/Postal  The.mid"",1902"
"10299,""Crausaz & Orton/Pretty Thing.mid"",1987"
"10309,""Crausaz & Orton/Pride Of The Smoky Row.mid"",1911"
"10385,""Crausaz & Orton/Purdue Spirit  The.mid"",1909"
"10423,""Crausaz & Orton/Queen City Girl.mid"",1907"
"10521,""Crausaz & Orton/Rag Elegante.mid"",1970"
"10537,""Crausaz & Orton/Rag For Michael, A.mid"",2007"
"10587,""Crausaz & Orton/Rag Pickings.mid"",1898"
"10611,""Crausaz & Orton/Rag Time Insanity.mid"",1900"
"10922,""Crausaz & Orton/Rag-Time Joke, A.mid"",1905"
"10698,""Crausaz & Orton/Ragged Rapids Rag.mid"",n/a"
"10754,""Crausaz & Orton/Raggy-Raggers  The.mid"",1899"
"10971,""Crausaz & Orton/Ragtime Patrol  The.mid"",1897"
"11189,""Crausaz & Orton/Razor Park March.mid"",1898"
"11295,""Crausaz & Orton/Red Hots.mid"",1907"
"11386,""Crausaz & Orton/Restless Rag.mid"",1908"
"11451,""Crausaz & Orton/Rig-a-Jig.mid"",1912"
"11596,""Crausaz & Orton/Rose De Haven's Devil March.mid"",1908"
"11718,""Crausaz & Orton/Rusty Dusty.mid"",1899"
"11733,""Crausaz & Orton/S. R. Henry's Barn Dance.mid"",1908"
"11874,""Crausaz & Orton/Savannah Side-Swing  The.mid"",1912"
"11906,""Crausaz & Orton/Scan'lous Ephraim.mid"",1899"
"12073,""Crausaz & Orton/She Doesn't Seem To Care About Me.mid"",1903"
"12209,""Crausaz & Orton/Silver Flash.mid"",1977"
"12464,""Crausaz & Orton/Snuffuns.mid"",1927"
"12565,""Crausaz & Orton/Songster's Tune.mid"",1995"
"12688,""Crausaz & Orton/Sparklette.mid"",1952"
"12829,""Crausaz & Orton/State Normal March  The.mid"",1908"
"13175,""Crausaz & Orton/Sweet Alfarata.mid"",1902"
"13189,""Crausaz & Orton/Sweet Dreams Of Youth.mid"",1905"
"13219,""Crausaz & Orton/Sweet Potatoes.mid"",1906"
"13254,""Crausaz & Orton/Swellest In Town.mid"",1903"
"13315,""Crausaz & Orton/Syncopation.mid"",1914"
"13431,""Crausaz & Orton/Tantalizer Rag  The.mid"",1916"
"14063,""Crausaz & Orton/Tierney Rag  The.mid"",1913"
"14087,""Crausaz & Orton/Tin Pan Brigade  The.mid"",1902"
"14141,""Crausaz & Orton/Toggle-Jointed Toby.mid"",1901"
"14201,""Crausaz & Orton/Topsy's Night Out.mid"",1900"
"14321,""Crausaz & Orton/Tripoli.mid"",1928"
"14330,""Crausaz & Orton/Trombone Nightmare, A.mid"",1910"
"14432,""Crausaz & Orton/Twin City  The.mid"",1902"
"14443,""Crausaz & Orton/Twister  The.mid"",1969"
"14513,""Crausaz & Orton/Uncle Sam's Favorite.mid"",1905"
"14543,""Crausaz & Orton/Unique.mid"",1902"
"14699,""Crausaz & Orton/Virginia Shuffle  The.mid"",1901"
"14759,""Crausaz & Orton/Walkin' And Talkin'.mid"",1906"
"14898,""Crausaz & Orton/Wedding Cake  The.mid"",1903"
"14909,""Crausaz & Orton/Wedding Of The Painted Doll  The.mid"",1929"
"15282,""Crausaz & Orton/Winn's Rag.mid"",n/a"
"15278,""Crausaz & Orton/Winnie's Arrival.mid"",1903"
"15280,""Crausaz & Orton/Winnin' Coon    De.mid"",1901"
"15411,""Crausaz & Orton/Yankee Dude.mid"",1907"
"31,""Misc Sequencers  A-E/20th Century Stomp.mid"",1995"
"453,""Misc Sequencers  A-E/A-Parrot-Tefe.mid"",1996"
"851,""Misc Sequencers  A-E/BBD Rag.mid"",1994"
"833,""Misc Sequencers  A-E/Barwick Apartments Romp  The.mid"",1994"
"882,""Misc Sequencers  A-E/Beaver Rag.mid"",1972"
"1035,""Misc Sequencers  A-E/Bisbee Rag  The.mid"",2000"
"1155,""Misc Sequencers  A-E/Blissful Syncopations.mid"",2006"
"2855,""Misc Sequencers  A-E/Customs Officer  The.mid"",2006"
"3596,""Misc Sequencers  A-E/Dreamy Draw.mid"",2002"
"4338,""Misc Sequencers  A-E/Footrot Rag.mid"",2000"
"4995,""Misc Sequencers  A-E/Graduation March  The.mid"",2000"
"5440,""Misc Sequencers  A-E/High Speed Highway.mid"",2001"
"5677,""Misc Sequencers  A-E/Hot Garbage.mid"",2001"
"5984,""Misc Sequencers  A-E/I Never Knew How Much I Loved You.mid"",1925"
"6324,""Misc Sequencers  A-E/In Lamb's Clothing.mid"",2004"
"7383,""Misc Sequencers  A-E/Lemon Blossoms.mid"",1997"
"7497,""Misc Sequencers  A-E/Linger A While.mid"",1923"
"7748,""Misc Sequencers  A-E/Lucky Luke's Ragtime.mid"",1988"
"7864,""Misc Sequencers  A-E/Major Rag.mid"",2006"
